Maximum of Subsidiary Legal Name,Maximum of Name,Document Number,Date,Maximum of Due Date/Receive By,Period,Type,Maximum of Department,Maximum of Amount,Maximum of Amount Paid,Status,Maximum of Memo (Main),Maximum of Date Closed
"Nexus Land Holdings, LLC","Trapp Law Firm, PC",904,3/31/2025,4/30/2025,Mar-25,Bill,Infrastructure : Legal - Infra,1500,1500,Paid In Full,DM Company Formation - March 2025,10/3/2025
"Nexus Apex Holdings, LLC",Kimley Horn and Associates Inc,060057400-0425,4/30/2025,4/30/2025,Apr-25,Bill,Development : Regulatory : Regulatory Gen,22400,22400,Paid In Full,"DM Task 1 - workload review & coordination, rainfall research, rainfallanalysis, water balance calculations, rainfall data cleanup - April 2025",5/29/2025
"Nexus Land Holdings, LLC","Trapp Law Firm, PC",924,4/30/2025,5/30/2025,Apr-25,Bill,Infrastructure : Legal - Infra,3000,3000,Paid In Full,DM Company Formation - April 2025,9/11/2025
"Nexus Land Holdings, LLC","Trapp Law Firm, PC",925,4/30/2025,5/30/2025,Apr-25,Bill,Infrastructure : Legal - Infra,1815,1815,Paid In Full,DM Company Formation - April 2025,7/1/2025
"Nexus Land Holdings, LLC","Trapp Law Firm, PC",933,4/30/2025,5/30/2025,Apr-25,Bill,Infrastructure : Legal - Infra,405,405,Paid In Full,DM Company Formation - don't have invoice left as legal fees - April 2025,10/3/2025
"Nexus Apex Holdings, LLC",Terradyne Engineering,D251128-001,5/6/2025,5/6/2025,May-25,Bill,Development : Engineering : Engineering Gen,10665,10665,Paid In Full,DM Initial payment,5/7/2025
"Nexus Data Centers, LLC",Simplify Compliance LLC (datacenterHawk),79510,5/8/2025,6/7/2025,May-25,Bill,Corporate : IT : Services / License,10660,10660,Paid In Full,DM Texas Hyperscale - 5/25 - 4/26,6/2/2025
"Nexus Apex Holdings, LLC",PRAIRIELANDS GROUNDWATER CONSERVATION DISTRICT,2025-0358,5/19/2025,6/10/2025,May-25,Bill,Development : Utilities : Utilities Gen,2008.94,2008.94,Paid In Full,DM 2025 Operating Production Water Use Fees (OP-25-085) - 1Q 2025 and Q2 2025 - Q1 and Q2 2025,6/3/2025
"Nexus Data Centers, LLC",Grant Woodward,INV-0016,5/28/2025,5/28/2025,May-25,Bill,Corporate : Marketing / Branding,1159.66,1159.66,Paid In Full,"DM Initial renderings - 14,000 ZAR",5/28/2025
"Nexus Data Centers, LLC",Krysta De Lima,I-17,5/29/2025,6/28/2025,May-25,Bill,Corporate : Legal,31590,31590,Paid In Full,DM Legal Services - March 2025 - May 2025,6/24/2025
"Nexus Apex Holdings, LLC",Kimley Horn and Associates Inc,060057400-0525,5/31/2025,5/31/2025,May-25,Bill,Development : Regulatory : Regulatory Gen,48375,48375,Paid In Full,DM May 2025 - Water Consulting - Drainage Analysis - Thru May 2025,8/28/2025
"Nexus Data Centers, LLC",Regus Corporation,7970-398,5/31/2025,6/15/2025,May-25,Bill,Corporate : HQ / Office,21631.18,21631.18,Paid In Full,DM Hughes Landing Workspace  - May 2025,6/12/2025
"Nexus Land Holdings, LLC","Trapp Law Firm, PC",952,5/31/2025,6/30/2025,May-25,Bill,Infrastructure : Legal - Infra,19156.25,19156.25,Paid In Full,"DM May 2025 Legal Services for land also has $13,531.25 for Blackland survey cost - KH - May 2025",6/27/2025
"Nexus Data Centers, LLC","Braintek, LLC",44383,6/1/2025,6/16/2025,Jun-25,Bill,Corporate : IT : Services / License,4113.5,4113.5,Paid In Full,DM Onboarding - May 2025,6/13/2025
"Nexus Data Centers, LLC","Braintek, LLC",44384,6/1/2025,6/16/2025,Jun-25,Bill,Corporate : IT : Services / License,1809.07,1809.07,Paid In Full,DM June - Monthly Maintenance - June 2025,6/13/2025
"Nexus Apex Holdings, LLC",SLR international corporation,10015186,6/5/2025,6/5/2025,Jun-25,Bill,Development : Regulatory : Regulatory Procore,3283.75,3283.75,Paid In Full,DM Consulting services - May 2025,6/23/2025
"Nexus Apex Holdings, LLC",Terradyne Engineering,D251128-002,6/5/2025,6/10/2025,Jun-25,Bill,Development : Engineering : Engineering Gen,21335,21335,Paid In Full,"DM G0007 - 4 borings drilled, lab testing and geotechnical report - June 2025",6/10/2025
"Nexus Data Centers, LLC","PitchLift, Inc.",1856,6/8/2025,6/8/2025,Jun-25,Bill,Corporate : Marketing / Branding,3750,3750,Paid In Full,DM Express Deck Upgrade (Long Form) - Design-focused - One time deck,6/9/2025
"Nexus Data Centers, LLC",Simplify Compliance LLC (datacenterHawk),80939-B1,6/9/2025,6/9/2025,Jun-25,Bill,Corporate : IT : Services / License,6662.5,6662.5,Paid In Full,DM North American Access - Installment #1 - 4/25 to 4/26,6/10/2025
"Nexus Data Centers, LLC",Isadora Design LLC,IA-NEXUS 45820,6/12/2025,6/12/2025,Jun-25,Bill,Corporate : Marketing / Branding,33900,33900,Paid In Full,DM Website Design - 1st installment for SOW - Installment payment,6/20/2025
"Nexus Data Centers, LLC","PitchLift, Inc.",1861,6/19/2025,6/19/2025,Jun-25,Bill,Corporate : Marketing / Branding,2250,2250,Paid In Full,DM Express Deck Upgrade (Long Form) - Design-focused - One time deck,6/20/2025
"Nexus Apex Holdings, LLC","EXP Energy Services, Inc.",5202519,6/19/2025,6/19/2025,Jun-25,Bill,Development : Regulatory : Regulatory Procore,9283.51,9283.51,Paid In Full,DM May Services - Environmental Studies - May 2025,6/23/2025
"Nexus Apex Holdings, LLC",PRAIRIELANDS GROUNDWATER CONSERVATION DISTRICT,2025-0497,6/20/2025,6/20/2025,Jun-25,Bill,Development : Utilities : Utilities Gen,1004.47,1004.47,Paid In Full,DM Water usage fees - Q3 2025 - Q3 2025,7/10/2025
"Nexus Land Holdings, LLC","Trapp Law Firm, PC",974,6/30/2025,7/30/2025,Jun-25,Bill,Infrastructure : Legal - Infra,3780,3780,Paid In Full,DM Land and Power legal consulting - confirmed land KH - June 2025,9/22/2025
