Maximum of Subsidiary Legal Name,Maximum of Name,Document Number,Date,Maximum of Due Date/Receive By,Period,Type,Maximum of Department,Maximum of Amount,Maximum of Amount Paid,Status,Maximum of Memo (Main),Maximum of Date Closed
"Nexus Land Holdings, LLC","Trapp Law Firm, PC",904,3/31/2025,4/30/2025,Mar 2025,Bill,Infrastructure : Legal - Infra,"1,500.00 ","1,500.00 ",Paid In Full,DM Company Formation - March 2025,10/3/2025
"Nexus Apex Holdings, LLC",Kimley Horn and Associates Inc,060057400-0425,4/30/2025,4/30/2025,Apr 2025,Bill,Development : Regulatory : Regulatory Gen,"22,400.00 ","22,400.00 ",Paid In Full,"DM Task 1 - workload review & coordination, rainfall research, rainfallanalysis, water balance calculations, rainfall data cleanup - April 2025",5/29/2025
"Nexus Land Holdings, LLC","Trapp Law Firm, PC",924,4/30/2025,5/30/2025,Apr 2025,Bill,Infrastructure : Legal - Infra,"3,000.00 ","3,000.00 ",Paid In Full,DM Company Formation - April 2025,9/11/2025
"Nexus Land Holdings, LLC","Trapp Law Firm, PC",925,4/30/2025,5/30/2025,Apr 2025,Bill,Infrastructure : Legal - Infra,"1,815.00 ","1,815.00 ",Paid In Full,DM Company Formation - April 2025,7/1/2025
"Nexus Land Holdings, LLC","Trapp Law Firm, PC",933,4/30/2025,5/30/2025,Apr 2025,Bill,Infrastructure : Legal - Infra,405.00 ,405.00 ,Paid In Full,DM Company Formation - don't have invoice left as legal fees - April 2025,10/3/2025
"Nexus Land Holdings, LLC",Rachel Massey,4,5/4/2025,5/19/2026,Jul 2026,Bill,Infrastructure : Residential Improvements - Infra,645.00 ,645.00 ,Paid In Full,Paid via check 1057,5/4/2026
"Nexus Apex Holdings, LLC",Terradyne Engineering,D251128-001,5/6/2025,5/6/2025,May 2025,Bill,Development : Engineering : Engineering Gen,"10,665.00 ","10,665.00 ",Paid In Full,DM Initial payment,5/7/2025
"Nexus Data Centers, LLC",Simplify Compliance LLC (datacenterHawk),79510,5/8/2025,6/7/2025,May 2025,Bill,Corporate : IT : Services / License,"10,660.00 ","10,660.00 ",Paid In Full,DM Texas Hyperscale - 5/25 - 4/26,6/2/2025
"Nexus Apex Holdings, LLC",PRAIRIELANDS GROUNDWATER CONSERVATION DISTRICT,2025-0358,5/19/2025,6/10/2025,May 2025,Bill,Development : Utilities : Utilities Gen,"2,008.94 ","2,008.94 ",Paid In Full,DM 2025 Operating Production Water Use Fees (OP-25-085) - 1Q 2025 and Q2 2025 - Q1 and Q2 2025,6/3/2025
"Nexus Data Centers, LLC",Grant Woodward,INV-0016,5/28/2025,5/28/2025,May 2025,Bill,Corporate : Marketing / Branding,"1,159.66 ","1,159.66 ",Paid In Full,"DM Initial renderings - 14,000 ZAR",5/28/2025
"Nexus Data Centers, LLC",Krysta De Lima,I-17,5/29/2025,6/28/2025,May 2025,Bill,Corporate : Legal,"31,590.00 ","31,590.00 ",Paid In Full,DM Legal Services - March 2025 - May 2025,6/24/2025
"Nexus Apex Holdings, LLC",Kimley Horn and Associates Inc,060057400-0525,5/31/2025,5/31/2025,May 2025,Bill,Development : Regulatory : Regulatory Gen,"48,375.00 ","48,375.00 ",Paid In Full,DM May 2025 - Water Consulting - Drainage Analysis - Thru May 2025,8/28/2025
"Nexus Data Centers, LLC",Regus Corporation,7970-398,5/31/2025,6/15/2025,May 2025,Bill,Corporate : HQ / Office,"21,631.18 ","21,631.18 ",Paid In Full,DM Hughes Landing Workspace  - May 2025,6/12/2025
"Nexus Land Holdings, LLC","Trapp Law Firm, PC",952,5/31/2025,6/30/2025,May 2025,Bill,Infrastructure : Legal - Infra,"19,156.25 ","19,156.25 ",Paid In Full,"DM May 2025 Legal Services for land also has $13,531.25 for Blackland survey cost - KH - May 2025",6/27/2025
"Nexus Data Centers, LLC","Braintek, LLC",44383,6/1/2025,6/16/2025,Jun 2025,Bill,Corporate : IT : Services / License,"4,113.50 ","4,113.50 ",Paid In Full,DM Onboarding - May 2025,6/13/2025
"Nexus Data Centers, LLC","Braintek, LLC",44384,6/1/2025,6/16/2025,Jun 2025,Bill,Corporate : IT : Services / License,"1,809.07 ","1,809.07 ",Paid In Full,DM June - Monthly Maintenance - June 2025,6/13/2025
"Nexus Apex Holdings, LLC",SLR international corporation,10015186,6/5/2025,6/5/2025,Jun 2025,Bill,Development : Regulatory : Regulatory Procore,"3,283.75 ","3,283.75 ",Paid In Full,DM Consulting services - May 2025,6/23/2025
"Nexus Apex Holdings, LLC",Terradyne Engineering,D251128-002,6/5/2025,6/10/2025,Jun 2025,Bill,Development : Engineering : Engineering Gen,"21,335.00 ","21,335.00 ",Paid In Full,"DM G0007 - 4 borings drilled, lab testing
and geotechnical report - June 2025",6/10/2025
"Nexus Data Centers, LLC","PitchLift, Inc.",1856,6/8/2025,6/8/2025,Jun 2025,Bill,Corporate : Marketing / Branding,"3,750.00 ","3,750.00 ",Paid In Full,"DM Express Deck Upgrade (Long Form) -
Design-focused - One time deck",6/9/2025
"Nexus Data Centers, LLC",Simplify Compliance LLC (datacenterHawk),80939-B1,6/9/2025,6/9/2025,Jun 2025,Bill,Corporate : IT : Services / License,"6,662.50 ","6,662.50 ",Paid In Full,DM North American Access - Installment #1 - 4/25 to 4/26,6/10/2025
"Nexus Data Centers, LLC",Isadora Design LLC,IA-NEXUS 45820,6/12/2025,6/12/2025,Jun 2025,Bill,Corporate : Marketing / Branding,"33,900.00 ","33,900.00 ",Paid In Full,DM Website Design - 1st installment for SOW - Installment payment,6/20/2025
"Nexus Data Centers, LLC","PitchLift, Inc.",1861,6/19/2025,6/19/2025,Jun 2025,Bill,Corporate : Marketing / Branding,"2,250.00 ","2,250.00 ",Paid In Full,"DM Express Deck Upgrade (Long Form) -
Design-focused - One time deck",6/20/2025
"Nexus Apex Holdings, LLC","EXP Energy Services, Inc.",5202519,6/19/2025,6/19/2025,Jun 2025,Bill,Development : Regulatory : Regulatory Procore,"9,283.51 ","9,283.51 ",Paid In Full,DM May Services - Environmental Studies - May 2025,6/23/2025
"Nexus Apex Holdings, LLC",PRAIRIELANDS GROUNDWATER CONSERVATION DISTRICT,2025-0497,6/20/2025,6/20/2025,Jun 2025,Bill,Development : Utilities : Utilities Gen,"1,004.47 ","1,004.47 ",Paid In Full,DM Water usage fees - Q3 2025 - Q3 2025,7/10/2025
"Nexus Land Holdings, LLC","Trapp Law Firm, PC",974,6/30/2025,7/30/2025,Jun 2025,Bill,Infrastructure : Legal - Infra,"3,780.00 ","3,780.00 ",Paid In Full,DM Land and Power legal consulting - confirmed land KH - June 2025,9/22/2025
"Nexus Data Centers, LLC","AMP DATA CENTER GROUP, LLC",50001,7/1/2025,7/15/2025,Jul 2025,Bill,Corporate : Business development,"20,000.00 ","20,000.00 ",Paid In Full,DM Sales/Leasing Advisory - July 2025,7/17/2025
"Nexus Data Centers, LLC",Grant Woodward,INV-0017,7/6/2025,7/6/2025,Jul 2025,Bill,Corporate : Marketing / Branding,"2,700.00 ","2,700.00 ",Paid In Full,"DM Initial renderings - 33,250 ZAR",7/9/2025
"Nexus Hubbard Power, LLC",Everllence USA INC,6803237,7/7/2025,7/22/2025,Jul 2025,Bill,Development : Asset Procurement : Asset Procurement Procore,"15,600,000.00 ","15,600,000.00 ",Paid In Full,DM Reservation fee for 13 units  - Prepaid equipment asset,7/14/2025
"Nexus Hubbard Power, LLC",Oncor Electric Delivery Company LLC,ESD0184399,7/10/2025,8/9/2025,Jul 2025,Bill,Infrastructure : Acquisition costs - Infra,"4,500.00 ","4,500.00 ",Paid In Full,DM Easement payment - see email support & invoice,7/14/2025
"Nexus Data Centers, LLC",Kirkland & Ellis LLP,1020033606,7/14/2025,7/14/2025,Jul 2025,Bill,Corporate : Legal,"133,178.77 ","133,178.77 ",Paid In Full,DM June 2025 legal services - June 2025,7/17/2025
"Nexus Data Centers, LLC",Isadora Design LLC,IA-NEXUS 45852,7/14/2025,7/14/2025,Jul 2025,Bill,Corporate : Marketing / Branding,"22,100.00 ","22,100.00 ",Paid In Full,DM Website Design - 2nd installment for SOW - Installment payment,7/17/2025
"Nexus Apex Holdings, LLC",SLR international corporation,10016492,7/15/2025,7/15/2025,Jul 2025,Bill,Development : Regulatory : Regulatory Procore,"3,283.75 ","3,283.75 ",Paid In Full,DM Consulting services - 5/31 to 7/4,7/8/2025
"Nexus Apex Holdings, LLC",Dotterweich Carlson Mehner Design,25-0009-01,7/15/2025,7/15/2025,Jul 2025,Bill,Development : Engineering : Engineering Gen,"20,625.00 ","20,625.00 ",Paid In Full,DM Architectural services and structural engineering,7/17/2025
"Nexus Apex Holdings, LLC",Collin W Lynch,CL-INV-2,7/15/2025,7/15/2026,Jul 2026,Bill,Corporate : Workforce,292.50 ,292.50 ,Paid In Full,HUbbard PD off-duty officer hours,7/24/2026
"Nexus Data Centers, LLC","Intergra One LLC (Critical Construction Management, LLC )",INV-200015445,7/16/2025,8/15/2025,Jul 2025,Bill,Corporate : Business development,"175,000.00 ","175,000.00 ",Paid In Full,DM Development Plan and Due Diligence - 50% complete as of this date,8/13/2025
Nexus Data Centers Hubbard LLC,"HDR Engineering, Inc.",1200847248,7/21/2025,8/20/2025,Jul 2025,Bill,Development : Engineering : Engineering Procore,"56,020.00 ",0.00 ,Pending Approval,BASIC SERVICES - LUMP SUM,
"Nexus Apex Holdings, LLC","EXP Energy Services, Inc.",6202517,7/21/2025,7/21/2025,Jul 2025,Bill,Development : Regulatory : Regulatory Procore,"2,706.25 ","2,706.25 ",Paid In Full,DM June Services - Environmental and community plan - June 2025,7/23/2025
"Nexus Data Centers, LLC",Isadora Design LLC,IA-NEXUS45861,7/23/2025,7/23/2025,Jul 2025,Bill,Corporate : Marketing / Branding,"8,845.00 ","8,845.00 ",Paid In Full,DM Website Design - 3rd installment for SOW - Installment payment,7/30/2025
"Nexus Apex Holdings, LLC",NTX Drone Services LLC (Inactive),7,7/24/2025,8/23/2025,Jul 2025,Bill,Development : Site Services : Site Services Gen,"13,853.84 ","13,853.84 ",Paid In Full,DM Photogrammetry mapping & APVBASIC,8/20/2025
"Nexus Data Centers, LLC","BMP Partners, Inc",447899,7/28/2025,8/27/2025,Jul 2025,Bill,Corporate : Marketing / Branding,"1,889.84 ","1,889.84 ",Paid In Full,DM Marketing Items - Tumblers- Navy,9/25/2025
"Nexus Data Centers, LLC",Marsh USA LLC,801027364092,7/28/2025,7/28/2025,Jul 2025,Bill,Operations : Insurance,"6,728.00 ","6,728.00 ",Paid In Full,DM D&O Liab Insurance - annual premium payment - 7/3/2025-7/3/2026,7/31/2025
"Nexus Data Centers, LLC",Regus Corporation,7970-523,7/31/2025,8/15/2025,Jul 2025,Bill,Corporate : HQ / Office,"11,474.10 ","11,474.10 ",Paid In Full,DM September rent; July office services,8/18/2025
"Nexus Land Holdings, LLC","Trapp Law Firm, PC",995,7/31/2025,8/30/2025,Jul 2025,Bill,Infrastructure : Legal - Infra,"6,165.00 ","6,165.00 ",Paid In Full,DM Company Formation - this is actually land checked inv -KH - July 2025,9/11/2025
"Nexus Data Centers, LLC","Braintek, LLC",44624,8/1/2025,8/16/2025,Aug 2025,Bill,Corporate : IT : Services / License,"2,265.94 ","2,265.94 ",Paid In Full,DM August - Monthly Maintenance - August 2025,9/11/2025
"Nexus Data Centers, LLC","AMP DATA CENTER GROUP, LLC",50002,8/1/2025,8/15/2025,Aug 2025,Bill,Corporate : Business development,"20,000.00 ","20,000.00 ",Paid In Full,DM Sales/Leasing Advisory - August 2025,8/11/2025
"Nexus Data Centers, LLC","Intergra One LLC (Critical Construction Management, LLC )",INV-200015457,8/1/2025,8/31/2025,Aug 2025,Bill,Corporate : Business development,"175,000.00 ","175,000.00 ",Paid In Full,DM Development Plan and Due Diligence - Remaining 50% - July 2025,8/26/2025
"Nexus Data Centers, LLC",Kirkland & Ellis LLP,1020034087,8/5/2025,8/6/2025,Aug 2025,Bill,Corporate : Legal,"437,829.40 ","437,829.40 ",Paid In Full,DM July 2025 legal services  - July 2025,8/8/2025
"Nexus Data Centers, LLC",Simplify Compliance LLC (datacenterHawk),80939-B2,8/7/2025,9/9/2025,Aug 2025,Bill,Corporate : IT : Services / License,"6,662.50 ","6,662.50 ",Paid In Full,DM North American Access - Installment #2 - 4/25 to 4/26,8/28/2025
"Nexus Apex Holdings, LLC",SLR international corporation,10017615,8/13/2025,8/13/2025,Aug 2025,Bill,Development : Regulatory : Regulatory Procore,"33,361.25 ","33,361.25 ",Paid In Full,DM Initial emissions data research & feasibility & design analysis  - July 2025,8/28/2025
"Nexus Hubbard Power, LLC","Exp U.S. Services, Inc.",156079,8/13/2025,8/23/2025,Aug 2025,Bill,Development : Engineering : Engineering Procore,"4,540.00 ","4,540.00 ",Paid In Full,DM CSA Engineering - RUS-25010731-AO - Nexus Hubbard - July 2025,9/30/2025
"Nexus Apex Holdings, LLC","FLYGUYS, INC.",19718,8/13/2025,9/12/2025,Aug 2025,Bill,Development : Site Services : Site Services Gen,"23,650.00 ","23,650.00 ",Paid In Full,DM Hubbard LIDAR Scan - August 2025,9/25/2025
"Nexus Apex Holdings, LLC",PRAIRIELANDS GROUNDWATER CONSERVATION DISTRICT,2025-0583,8/18/2025,8/21/2025,Aug 2025,Bill,Development : Utilities : Utilities Gen,"10,125.82 ","10,125.82 ",Paid In Full,DM Well Registration PGCD-003626 - Usage fees  - Q1 - Q3 2025,8/28/2025
"Nexus Apex Holdings, LLC","EXP Energy Services, Inc.",7202520,8/18/2025,10/1/2025,Aug 2025,Bill,Development : Regulatory : Regulatory Procore,"5,904.00 ","5,904.00 ",Paid In Full,DM Environmental Consulting - HOU-25007091-00 - July 2025,9/30/2025
"Nexus Data Centers, LLC",Marsh USA LLC,801028843362,8/18/2025,8/18/2025,Aug 2025,Bill,Operations : Insurance,"26,875.00 ","26,875.00 ",Paid In Full,DM Insurance Advisory - Property Risk Consulting - August 2025,8/28/2025
"Nexus Data Centers, LLC",Marsh USA LLC,801020647450,8/20/2025,8/22/2025,Aug 2025,Bill,Operations : Insurance,"7,579.35 ","7,579.35 ",Paid In Full,DM Energy general liab & excess liab premiums and fees - 8/4/2025-8/4/2026,8/28/2025
"Nexus Apex Holdings, LLC",SLR international corporation,10017874,8/21/2025,8/21/2025,Aug 2025,Bill,Development : Regulatory : Regulatory Procore,"18,241.06 ","18,241.06 ",Paid In Full,DM Environmental Consulting - Noise Study - 7/19/2025 - 8/15/2025,9/30/2025
"Nexus Apex Holdings, LLC",Terradyne Engineering,D251227-001,8/26/2025,8/26/2025,Aug 2025,Bill,Development : Engineering : Engineering Gen,"150,000.00 ","150,000.00 ",Paid In Full,DM Initial payment  - August 2025,9/11/2025
"Nexus Data Centers, LLC",Abdellah Kettani,SFF6818 8.18,8/28/2025,8/28/2025,Aug 2025,Bill,Corporate : Corporate,110.00 ,110.00 ,Paid In Full,DM Transportation - Ivan Car Service,10/3/2025
"Nexus Land Holdings, LLC","Trapp Law Firm, PC",1012,8/31/2025,9/30/2025,Aug 2025,Bill,Infrastructure : Legal - Infra,"20,632.50 ","20,632.50 ",Paid In Full,"DM Company Formation - this is actually land checked inv -KH - Overpayment of August invoice that was applied as a credit to the October invoice #17,520",10/3/2025
"Nexus Hubbard Power, LLC",Pastore Houldsworth & Co LLC,2025-2180,8/31/2025,9/30/2025,Aug 2025,Bill,Development : Consulting : Consulting Gen,"91,033.24 ","91,033.24 ",Paid In Full,DM PPA Consulting - August 2025,9/22/2025
"Nexus Apex Holdings, LLC",CI Mission Critical LLC,500.60.25152.000-1,8/31/2025,9/15/2025,Aug 2025,Bill,Development : Engineering : Engineering Gen,"63,825.00 ","63,825.00 ",Paid In Full,"DM Detailed Design - Architectual, MEP Master Planning - August 2025",10/1/2025
"Nexus Apex Holdings, LLC",CI Mission Critical LLC,500.60.25152.000-2,8/31/2025,9/15/2025,Aug 2025,Bill,Development : Engineering : Engineering Gen,"5,000.00 ","5,000.00 ",Paid In Full,"DM Detailed Design - Architectual, MEP Master Planning - September 2025",10/30/2025
"Nexus Data Centers, LLC",Regus Corporation,7970-610,8/31/2025,9/15/2025,Aug 2025,Bill,Corporate : HQ / Office,"13,337.89 ","13,337.89 ",Paid In Full,"DM October rent; August IT services, meeting room, copy/print, and kitchen",9/18/2025
"Nexus Data Centers, LLC","Braintek, LLC",44722,9/1/2025,9/16/2025,Sep 2025,Bill,Corporate : IT : Services / License,"2,777.41 ","2,777.41 ",Paid In Full,DM September - Monthly Maintenance - September 2025,9/11/2025
"Nexus Data Centers, LLC","AMP DATA CENTER GROUP, LLC",50003,9/1/2025,9/15/2025,Sep 2025,Bill,Corporate : Business development,"20,000.00 ","20,000.00 ",Paid In Full,DM Sales/Leasing Advisory - September 2025,9/11/2025
"Nexus Hubbard Power, LLC","Industrial Project Innovation, LLC",Nexus-001,9/2/2025,10/2/2025,Sep 2025,Bill,Development : Project Management : Project Management Procore,"20,160.00 ","20,160.00 ",Paid In Full,DM Schedule mgmt services for Nexus Program Team - August 2025,9/24/2025
